L,A,B
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,131,238
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
126,129,244
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
126,129,244
126,129,244
126,129,242
124,130,242
124,130,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
127,129,242
127,129,242
126,129,244
126,129,244
126,129,244
124,130,242
124,130,242
124,130,242
124,130,242
124,130,240
124,130,240
124,130,240
124,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
125,128,241
125,128,241
125,129,239
125,129,239
126,130,240
126,130,240
