L,A,B
124,162,49
123,164,58
120,166,67
117,168,75
113,169,80
111,169,84
110,170,80
109,168,84
107,169,86
108,170,85
107,172,80
105,172,77
104,172,87
105,172,101
101,171,109
103,173,110
102,175,106
101,173,99
101,173,100
102,172,102
104,171,102
104,171,102
108,173,93
109,174,94
110,168,94
109,167,91
109,167,90
110,168,84
113,167,73
116,165,60
119,162,47
122,159,43
125,159,46
125,159,49
122,159,53
120,159,50
119,162,47
120,163,45
123,164,46
122,162,47
120,162,52
120,162,52
119,163,52
119,163,50
118,165,51
120,165,48
121,164,46
122,163,45
124,163,46
124,163,48
124,164,52
122,165,58
120,166,68
117,168,75
113,169,82
111,169,84
110,170,80
109,169,83
109,169,83
107,170,79
106,172,75
104,171,76
104,172,89
103,173,103
101,171,108
102,174,108
102,175,102
101,174,103
101,172,106
102,172,110
103,171,110
104,170,106
106,173,94
107,174,95
110,169,87
110,167,86
112,167,86
113,167,83
115,165,76
117,164,68
117,163,55
118,161,43
123,164,36
125,162,30
126,162,28
127,162,32
128,162,42
127,161,51
127,159,58
125,159,64
124,163,57
122,163,61
122,162,65
122,162,66
121,161,65
121,161,62
120,162,54
122,162,50
122,162,48
122,162,50
121,163,55
119,164,61
118,166,67
116,168,70
113,169,72
112,169,72
110,171,68
112,168,77
112,166,88
114,166,92
114,167,87
112,168,79
110,169,77
106,171,79
102,172,86
101,174,95
99,174,107
99,172,117
100,172,122
102,173,117
102,174,101
101,173,89
105,170,102
106,172,101
110,169,89
111,168,89
111,168,89
114,167,87
114,166,81
116,165,74
117,163,64
120,162,52
122,161,42
123,162,37
125,162,33
126,162,36
127,162,42
127,161,48
125,161,55
124,159,57
124,162,51
123,162,53
123,162,55
121,162,56
119,162,55
119,162,54
119,163,50
119,163,48
121,163,51
121,163,53
121,164,59
120,165,64
118,166,67
116,168,70
113,169,70
112,170,70
109,171,72
109,169,79
111,168,91
113,167,92
113,168,87
110,169,79
108,169,74
103,170,73
100,171,79
99,173,88
97,173,99
97,171,108
98,171,115
100,171,113
101,172,106
102,172,99
105,171,97
106,173,96
111,170,90
112,169,90
112,169,90
113,167,89
114,167,87
116,165,83
118,164,74
119,163,65
120,162,54
122,161,46
123,161,42
124,162,41
125,163,44
125,162,46
123,161,48
122,160,49
125,162,46
123,162,45
122,163,45
120,163,45
117,165,45
117,165,47
116,165,48
116,165,50
118,166,56
118,165,59
118,165,63
118,166,66
116,166,67
116,168,68
114,169,68
113,169,68
106,171,77
106,170,83
108,169,91
110,168,94
110,168,91
108,168,80
103,169,71
99,170,68
97,172,71
96,173,79
95,172,90
95,173,98
96,171,106
100,171,111
102,172,112
103,171,112
108,172,94
108,173,93
112,169,88
112,169,88
112,169,90
113,167,91
114,166,91
114,165,88
117,164,83
119,163,76
118,162,67
120,161,59
121,160,51
122,162,48
123,164,46
123,164,46
120,163,45
118,161,43
124,162,43
122,161,42
121,162,40
118,164,40
115,165,42
115,166,47
113,166,52
113,165,55
116,167,62
115,166,63
116,167,64
116,167,66
115,167,66
113,168,67
114,168,70
113,169,70
102,171,80
103,171,84
106,171,91
107,169,94
108,168,94
105,169,85
103,170,75
99,171,69
97,174,72
95,175,80
95,175,88
95,174,93
96,172,98
100,172,106
103,172,117
104,172,123
110,172,95
109,172,93
112,170,85
112,170,85
112,170,86
114,168,90
113,167,89
114,167,89
114,165,86
117,164,83
118,164,76
118,163,70
117,162,61
119,162,55
119,163,52
117,164,48
117,165,47
116,164,46
121,161,46
119,162,46
118,163,46
116,163,47
115,165,52
113,165,57
113,165,64
114,166,68
115,167,69
115,167,67
113,168,64
113,169,62
113,168,64
112,168,67
112,169,74
112,168,77
101,171,82
102,172,84
103,171,88
106,170,94
106,169,98
106,170,94
103,171,86
100,173,81
98,173,80
97,175,89
96,175,94
96,175,96
97,174,96
100,173,102
103,172,115
104,172,125
111,172,94
110,171,93
114,170,79
114,170,79
114,170,81
114,170,83
113,168,84
113,168,85
114,167,85
115,167,84
116,166,81
116,165,76
117,164,70
116,164,65
116,164,62
116,165,58
114,166,55
114,166,55
116,164,54
116,164,55
115,164,57
114,165,62
113,165,67
114,165,73
114,164,77
112,165,77
113,167,73
113,168,67
113,169,62
112,169,62
111,170,64
110,170,72
110,170,82
110,169,85
100,172,86
102,172,86
104,172,87
104,171,92
106,169,99
107,169,102
105,171,97
102,173,93
100,173,94
100,173,100
98,173,104
98,173,104
98,174,100
100,173,102
103,173,111
103,172,118
111,170,86
111,170,86
115,169,73
116,170,74
114,170,73
114,169,75
112,169,75
112,169,75
113,168,77
113,167,79
115,168,80
115,168,80
116,166,79
116,166,77
113,167,73
113,167,71
113,167,69
114,169,68
110,167,64
111,167,66
111,167,70
112,167,76
113,165,80
113,165,83
113,165,83
113,165,82
113,166,76
113,167,69
112,169,64
111,170,64
109,169,69
110,170,80
109,171,88
109,171,94
104,171,94
104,171,91
106,171,89
107,171,93
108,169,99
107,169,102
107,169,102
104,171,100
101,170,103
101,171,109
101,172,116
101,172,116
101,173,110
101,173,109
102,172,109
102,172,112
111,170,80
111,170,78
118,168,69
117,169,69
117,169,69
114,169,68
112,168,67
112,168,69
111,168,71
112,169,75
114,168,80
114,168,82
115,169,85
115,168,86
113,168,85
113,168,84
111,169,84
112,170,83
105,171,74
106,170,76
107,170,81
109,169,83
110,168,84
112,167,86
112,165,83
113,165,80
113,166,74
112,168,71
111,168,71
109,169,73
109,169,79
108,170,87
109,171,96
109,172,101
108,169,102
109,169,99
109,170,93
109,170,93
109,169,95
109,169,99
108,169,100
107,169,102
105,170,104
105,170,112
103,170,119
102,170,123
103,171,124
103,172,118
102,172,112
102,171,108
112,168,77
112,168,77
119,167,68
119,167,67
117,168,67
115,167,66
113,168,66
112,168,67
112,168,69
112,169,74
112,168,79
113,168,84
113,168,87
114,168,92
113,169,94
112,170,94
112,170,94
110,171,93
105,174,85
104,172,85
106,172,85
107,171,87
107,169,84
109,169,83
110,169,79
112,169,75
111,168,74
111,168,74
110,169,79
111,169,84
110,169,89
110,170,96
111,171,101
110,171,102
116,167,110
116,168,106
116,169,99
115,169,93
115,169,91
113,170,93
112,170,94
110,170,96
109,171,98
108,170,103
106,169,114
106,169,126
107,168,134
105,170,130
104,171,118
102,171,108
113,169,82
112,168,79
120,165,70
120,165,70
119,166,70
116,166,67
115,167,67
113,167,69
113,169,72
114,169,78
114,168,82
114,167,87
114,168,92
113,169,94
113,169,96
113,171,97
111,171,97
111,171,97
105,172,92
105,172,92
106,171,91
106,171,91
106,170,86
106,171,81
107,171,77
107,171,74
107,171,75
107,170,79
110,169,87
110,168,92
111,168,97
113,168,100
114,169,102
114,169,101
120,165,108
120,165,106
120,167,99
118,169,92
118,170,87
117,169,86
116,170,86
115,170,87
111,170,86
109,170,90
108,169,100
108,167,119
109,168,136
110,169,137
107,170,125
104,170,109
113,169,82
112,168,81
120,164,75
120,164,75
119,165,75
117,166,74
116,167,74
116,167,75
