H,S,V
106,181,161
123,157,158
147,145,159
127,157,157
128,156,157
134,163,161
137,158,161
137,155,159
132,157,161
123,169,166
112,184,170
99,194,170
92,197,167
95,198,168
94,193,162
95,192,159
96,193,162
92,191,162
93,188,164
96,185,165
98,182,166
98,182,156
103,187,163
101,189,165
102,191,171
103,187,172
107,173,169
121,158,166
139,141,162
152,132,159
157,128,158
151,131,156
145,140,160
137,146,161
127,150,158
125,154,160
124,155,160
121,157,157
119,153,154
123,154,157
122,153,158
121,154,159
120,158,161
117,162,159
115,175,163
112,181,163
115,184,165
116,180,163
110,182,162
108,185,165
110,178,163
124,160,158
142,149,157
126,156,156
128,156,157
141,154,162
142,152,161
141,152,158
132,158,159
120,171,162
108,190,168
94,202,170
88,204,167
91,206,167
93,197,162
95,192,159
96,189,160
96,186,161
98,183,162
102,180,166
103,177,164
102,174,160
100,177,159
99,182,162
104,189,168
102,185,165
103,175,161
111,168,159
123,159,159
137,147,157
148,136,156
152,132,157
154,136,162
148,140,163
136,143,161
132,148,161
129,149,160
128,153,149
130,151,154
131,149,159
130,148,162
131,148,164
129,148,162
124,155,158
120,172,160
111,180,159
113,185,161
115,180,160
113,176,159
115,179,165
116,176,164
126,165,160
137,157,158
134,158,160
134,158,160
144,150,162
143,149,161
137,150,158
126,158,155
113,174,159
100,193,164
90,205,166
86,207,166
91,201,162
97,192,160
102,186,160
104,183,161
103,182,163
102,180,164
104,178,165
102,174,163
103,173,163
100,174,161
100,178,162
104,186,164
103,183,158
100,178,154
106,179,159
114,172,158
128,158,160
146,142,159
160,130,158
164,127,160
155,132,160
141,142,160
134,154,163
127,156,162
128,163,156
133,165,160
133,161,164
133,151,163
140,145,164
146,141,163
141,143,156
132,156,156
118,168,156
115,178,159
118,177,157
118,171,155
120,172,159
123,174,165
127,170,163
130,164,163
141,156,159
141,155,158
142,148,162
140,150,160
133,152,158
119,160,154
106,178,158
96,195,164
89,205,166
88,204,167
92,193,161
100,184,160
106,177,161
109,175,163
108,174,164
107,175,164
106,174,163
103,170,161
102,171,166
98,174,162
99,180,163
103,187,163
101,186,157
100,183,155
107,182,159
117,173,160
132,156,160
151,136,159
164,124,158
166,126,160
148,134,157
131,150,156
123,170,162
115,177,162
120,183,166
121,183,168
118,176,162
123,166,159
135,154,160
148,141,157
154,137,156
147,143,158
133,152,156
126,166,158
127,171,158
126,168,154
125,169,156
124,171,161
124,171,165
123,167,166
141,155,158
141,152,156
139,146,162
136,150,161
128,156,159
115,165,156
105,180,160
96,197,167
89,203,169
89,198,167
93,186,165
101,177,164
108,170,165
111,167,164
111,166,163
114,166,162
115,166,161
113,162,158
103,163,161
99,171,160
94,181,162
93,192,163
93,192,161
96,185,157
111,175,158
126,160,159
142,144,159
151,128,157
154,127,158
152,142,166
132,156,160
113,174,158
108,197,165
103,208,167
112,200,175
107,196,168
104,193,163
110,193,165
121,182,164
132,163,158
142,149,157
145,143,157
140,144,156
136,151,158
136,157,158
132,161,157
127,164,157
121,168,160
120,171,166
119,171,167
135,159,159
133,157,157
137,146,161
134,152,162
126,160,161
